2011
Month,Average Wind Speed(stdev,mad),Average Ambient Temperature(stdev,mad),Total Solar Radiation
1,22.3983(10.2562,8.05485),24.7692(5.35587,4.31039),0.0415917
2,28.7437(12.6605,10.074),27.0093(4.78469,3.91403),0.0360679
3,22.7277(10.5517,8.43911),24.5049(4.73762,3.88618),0.0360106
4,20.6564(11.5864,9.15159),20.6256(5.03546,3.94936),0.0255598
5,17.2982(10.6984,8.63787),16.7796(4.58649,3.66298),0.0196324
6,20.3114(11.7184,9.30981),14.6826(3.39678,2.72924),0.0138761
7,19.8833(13.4052,10.357),12.9848(3.85792,3.11932),0.0135288
8,18.747(13.7481,11.075),14.3408(4.19182,3.3743),0.0222167
9,18.551(12.4847,9.85363),14.6009(3.88712,3.15542),0.0259555
10,19.1662(11.6648,9.33128),17.9594(4.30871,3.40623),0.0320233
11,22.9028(11.0049,8.63089),19.7149(4.63995,3.53277),0.036588
12,23.1698(10.5916,8.42782),23.3316(4.79452,3.86497),0.0399734
