2015
Month,Average Wind Speed(stdev,mad),Average Ambient Temperature(stdev,mad),Total Solar Radiation
1,6.08437(2.65056,2.09284),24.5806(5.40801,4.4343),262.559
2,5.60035(2.71324,2.15137),24.3626(4.66474,3.77469),205.31
3,5.63844(2.51468,2.00447),22.1512(4.65911,3.72523),195.516
4,5.79741(2.75525,2.18555),19.0963(4.1731,3.37336),135.847
5,4.65853(2.9832,2.32562),14.7713(4.66462,3.84818),117.946
6,4.99676(2.88878,2.25079),14.8312(4.32313,3.54551),92.9436
7,4.50863(2.61925,2.04288),13.454(3.89532,3.06304),91.1973
8,4.91477(2.76295,2.15106),14.012(4.06198,3.21241),111.716
9,5.23617(2.83967,2.22227),15.3856(5.29416,4.18082),176.372
10,4.99864(2.52709,2.00292),18.9682(4.76985,3.70487),200.113
11,5.61426(2.62935,2.08638),20.8374(4.97639,3.91802),246.929
12,6.01098(2.38893,1.87898),21.9187(5.62424,4.44552),273.543
